upload_id,user_id,metric_key,week_start,value_avg,value_min,value_max,value_sum,sample_count,baseline_avg_30d,trend_delta_7d,trend_delta_30d
dddddddd-dddd-dddd-dddd-dddddddddddd,dddddddd-dddd-dddd-dddd-dddddddddddd,walking_double_support_percentage,2024-03-25,28.1,25.4,33.1,421.5,15,,,
dddddddd-dddd-dddd-dddd-dddddddddddd,dddddddd-dddd-dddd-dddd-dddddddddddd,apple_walking_steadiness,2024-03-25,98.9482,98.9482,98.9482,98.9482,1,,,
dddddddd-dddd-dddd-dddd-dddddddddddd,dddddddd-dddd-dddd-dddd-dddddddddddd,step_count,2024-04-01,51.19189255542442,1,1118,88169,1667,274.27272727272725,-223.08083471730282,
dddddddd-dddd-dddd-dddd-dddddddddddd,dddddddd-dddd-dddd-dddd-dddddddddddd,lean_body_mass,2024-04-01,58.92117,58.7207,59.2232,412.4796,7,59.81961666666666,-0.24658000000000158,-1.1258050000000068
dddddddd-dddd-dddd-dddd-dddddddddddd,dddddddd-dddd-dddd-dddd-dddddddddddd,walking_speed,2024-04-01,4.668854631497618,2.556,6.336,695.6279999999999,152,4.455,0.2138546314976182,
dddddddd-dddd-dddd-dddd-dddddddddddd,dddddddd-dddd-dddd-dddd-dddddddddddd,workout,2024-04-01,13.265277777777776,7.15,31.63333333333333,150.89999999999998,12,11.438888888888888,1.8263888888888875,
dddddddd-dddd-dddd-dddd-dddddddddddd,dddddddd-dddd-dddd-dddd-dddddddddddd,apple_walking_steadiness,2024-04-01,100,100,100,100,1,98.9482,1.0518,
dddddddd-dddd-dddd-dddd-dddddddddddd,dddddddd-dddd-dddd-dddd-dddddddddddd,body_mass,2024-04-01,72.22142857142856,71.3,73,867.2,12,74.80395833333333,-0.8085714285714403,-3.4685714285714226
dddddddd-dddd-dddd-dddd-dddddddddddd,dddddddd-dddd-dddd-dddd-dddddddddddd,walking_double_support_percentage,2024-04-01,27.393995102162076,23.200000000000003,33,4172,151,28.1,-0.706004897837925,
dddddddd-dddd-dddd-dddd-dddddddddddd,dddddddd-dddd-dddd-dddd-dddddddddddd,walking_asymmetry_percentage,2024-04-01,0.6539986329460014,0,18,69,97,5,-4.346001367053999,
dddddddd-dddd-dddd-dddd-dddddddddddd,dddddddd-dddd-dddd-dddd-dddddddddddd,body_mass_index,2024-04-01,22.766464285714285,22.5035,23.04,273.33770000000004,12,23.554291666666664,-0.22353571428571328,-1.0615357142857107
dddddddd-dddd-dddd-dddd-dddddddddddd,dddddddd-dddd-dddd-dddd-dddddddddddd,distance_walking_running,2024-04-01,0.05771235986577756,0.00048,1.42449,74.17660209999998,1178,0.2641967142857143,-0.20648435441993673,
dddddddd-dddd-dddd-dddd-dddddddddddd,dddddddd-dddd-dddd-dddd-dddddddddddd,active_energy_burned,2024-04-01,2.1457895728552043,0.001,100.379,6891.2133,3031,15.616299999999999,-13.470510427144795,
dddddddd-dddd-dddd-dddd-dddddddddddd,dddddddd-dddd-dddd-dddd-dddddddddddd,flights_climbed,2024-04-01,1.9455923399196042,0.766667,5.2,91.06665299999999,47,1,0.9455923399196042,
dddddddd-dddd-dddd-dddd-dddddddddddd,dddddddd-dddd-dddd-dddd-dddddddddddd,basal_energy_burned,2024-04-01,38.122528815743294,0.205,73.397,12321.829000000007,361,35.4705,2.652028815743293,
dddddddd-dddd-dddd-dddd-dddddddddddd,dddddddd-dddd-dddd-dddd-dddddddddddd,walking_step_length,2024-04-01,67.8970676214,47,91,10258,152,66.25,1.647067621399998,
dddddddd-dddd-dddd-dddd-dddddddddddd,dddddddd-dddd-dddd-dddd-dddddddddddd,respiratory_rate,2024-04-01,12.778464485801441,10,17,3255,255,,,
dddddddd-dddd-dddd-dddd-dddddddddddd,dddddddd-dddd-dddd-dddd-dddddddddddd,headphone_audio_exposure,2024-04-01,54.69254181443965,2.0798,71.3254,23296.685899999997,428,55.47081555555557,-0.7782737411159175,
dddddddd-dddd-dddd-dddd-dddddddddddd,dddddddd-dddd-dddd-dddd-dddddddddddd,heart_rate,2024-04-01,74.16401939690708,46,171,378158,5085,,,
dddddddd-dddd-dddd-dddd-dddddddddddd,dddddddd-dddd-dddd-dddd-dddddddddddd,body_fat_percentage,2024-04-01,18.51,18.2,18.8,129.59999999999997,7,19.97625,-0.46999999999999886,-2.1149999999999984
dddddddd-dddd-dddd-dddd-dddddddddddd,dddddddd-dddd-dddd-dddd-dddddddddddd,resting_heart_rate,2024-04-01,60.833333333333336,57,64,2724,45,,,
dddddddd-dddd-dddd-dddd-dddddddddddd,dddddddd-dddd-dddd-dddd-dddddddddddd,walking_step_length,2024-04-08,66.37945355340618,40,104,25143,383,67.0735338107,-1.5176140679938186,
dddddddd-dddd-dddd-dddd-dddddddddddd,dddddddd-dddd-dddd-dddd-dddddddddddd,step_count,2024-04-08,62.40565747378201,1,1105,95665,1739,162.73230991407584,11.21376491835759,
dddddddd-dddd-dddd-dddd-dddddddddddd,dddddddd-dddd-dddd-dddd-dddddddddddd,flights_climbed,2024-04-08,1.573273376566416,0.9,4,77.29999699999999,56,1.472796169959802,-0.37231896335318826,
